season_year,month,mean,std,count,max
2000,1,27.25,16.312423516864694,1088,68.6
2000,2,14.025,8.273401732373133,960,36.0
2000,3,16.65251798561151,9.915548571058627,1112,54.0
2001,1,26.23165467625899,14.641209297077344,1112,77.3
2001,2,14.446564885496183,8.43685278085576,1048,43.3
2001,3,21.123404255319148,11.914374417936164,1128,66.3
2001,10,23.24074074074074,18.82452719960338,1080,92.5
2001,11,25.607518796992483,17.54292732162668,1064,75.5
2001,12,30.98861788617886,21.231954279416197,984,89.5
2002,1,23.769784172661872,13.952681534586173,1112,64.0
2002,2,23.702898550724637,14.057614602372217,1104,59.3
2002,3,15.54861111111111,10.742052515617601,1152,48.9
2002,10,28.893197278911565,16.180478534286134,1176,74.1
2002,11,30.04460431654676,18.94172282950218,1112,94.7
2002,12,21.071034482758623,12.341731319983081,1160,62.5
2003,1,21.544755244755244,12.929710661411256,1144,55.5
2003,2,11.796153846153846,5.52496692253235,1040,24.0
2003,3,16.93026315789474,11.4301516760758,1216,52.4
2003,10,26.017687074829933,12.524893072422278,1176,72.4
2003,11,20.865306122448978,13.09338064011966,1176,58.8
2003,12,23.11640625,13.785780580443076,1024,55.4
2004,1,24.558433734939758,14.194672614298126,1328,61.0
2004,2,13.64025974025974,7.725842731466849,1232,44.6
2004,3,22.609248554913297,15.284180111830892,1384,75.0
2004,10,30.40448717948718,21.75418356785482,1248,115.2
2004,11,17.013013698630136,7.203381703207783,1168,39.6
2004,12,21.18169934640523,13.225285813355354,1224,63.9
2005,1,15.782634730538922,12.038594525384925,1336,53.7
2005,2,10.215151515151515,5.653578909683579,1320,31.7
2005,3,14.803783783783782,14.119652381501803,1480,73.7
2005,10,19.103448275862068,13.744878490622662,1392,66.6
2005,11,17.280689655172413,9.592463942792117,1160,52.0
2005,12,17.68082191780822,9.577782882542461,1168,43.5
2006,1,15.028662420382165,8.955988365995433,1256,38.9
2006,2,19.41045751633987,13.76132095143955,1224,58.9
2006,3,8.54,3.1952162879234107,1320,21.1
2006,10,18.49751552795031,12.499209362709443,1288,62.8
2006,11,21.329285714285714,13.452421684461159,1120,61.0
2006,12,22.32634730538922,10.26514821355883,1336,53.3
2007,1,14.108661417322834,7.503142447056122,1016,38.4
2007,2,13.442857142857143,10.53562543497097,1064,48.6
2007,3,15.073913043478262,10.302124594295094,1288,51.2
2007,10,13.491338582677166,7.16161661164191,1016,42.0
2007,11,17.520261437908495,8.906046230362307,1224,52.7
2007,12,16.706299212598424,8.813350804265857,1016,44.5
2008,1,11.065454545454545,8.491759584413519,1320,40.9
2008,2,12.941496598639457,8.28961590702162,1176,36.4
2008,3,12.738888888888889,5.49987315680523,1440,26.7
2008,10,14.95897435897436,9.251595995180667,1248,56.5
2008,11,27.150943396226417,15.899435606664891,1272,82.8
2008,12,13.220121951219511,7.8081432184009145,1312,40.7
2009,1,16.512367567631706,13.957452742655054,2107,72.75
2009,2,10.819840906587473,6.00821801646021,1852,26.25
2009,3,14.089521859051128,9.574866726684846,2171,58.791667
2009,10,13.70119760479042,5.226816339949182,1336,26.8
2009,11,18.146385542168677,13.581523162079868,1328,78.3
2009,12,15.728082191780823,11.642564364156643,1168,59.9
2010,1,13.576923076923077,6.562067158190395,1352,30.9
2010,2,11.575816993464052,7.22545718607747,1224,37.5
2010,3,8.622485207100592,3.9814630106512894,1352,22.8
2010,10,12.325913433495145,6.641071500779016,2060,45.291667
2010,11,17.45361678300095,7.6847298902093835,2106,53.333333
2010,12,16.901354024411894,8.866710947329313,2253,46.2
2011,1,12.36510067114094,6.340857357657486,1192,32.8
2011,2,10.311805555555557,6.579577665987889,1152,32.2
2011,3,8.776785714285714,4.7931692923049605,1344,50.0
2011,10,10.746745562130178,7.232217052471451,1352,43.7
2011,11,10.43878787878788,5.713541770279834,1320,30.5
2011,12,13.42716049382716,9.19953011854525,1296,40.7
2012,1,14.319662921348316,7.000934052640284,1424,41.6
2012,2,9.733333333333333,5.335322666312504,1296,32.0
2012,3,8.76524064171123,4.691940896206064,1496,32.3
2012,10,15.414110429447852,9.575691129356338,1304,49.5
2012,11,12.780379746835443,6.388107109680599,1264,37.5
2012,12,17.6491124260355,8.555738739865449,1352,49.3
2013,1,12.958181818181817,10.084315193215705,1320,52.1
2013,2,11.43986013986014,6.726213224198101,1144,43.1
2013,3,13.252201257861635,6.708655109075437,1272,36.3
2013,10,9.732748538011696,4.6257550731427575,1368,26.9
2013,11,13.111643835616437,7.627205267449171,1168,36.4
2013,12,14.77142857142857,11.785600931657454,1344,58.7
2014,1,22.871523178807948,11.76112635427628,1208,64.6
2014,2,13.221935483870968,6.6981333669285155,1240,33.2
2014,3,9.195959595959597,3.7531389426068547,792,21.7
2014,10,12.754494382022473,6.353344261098929,1424,34.2
2014,11,11.424404761904762,4.398178693297418,1344,28.7
2014,12,14.480473372781065,6.418849721879007,1352,36.8
2015,1,17.97755102040816,11.538642102598685,1176,53.8
2015,2,17.020666666666667,12.467920720585338,1200,56.4
2015,3,11.022155688622755,6.729641747236989,1336,45.3
2015,10,13.566666666666668,2.4216517427410094,48,17.5
2015,11,11.985714285714286,5.067353821945381,280,30.9
2015,12,12.753684210526314,7.214753008975053,760,35.0
2016,1,11.979142308033733,6.725360893594177,2253,35.670833
2016,2,11.623111486823191,6.704893705021564,2087,33.208333
2016,3,10.010083396025877,6.2744384529258586,2164,39.8
2016,10,8.827906976744186,2.9955273777104954,1376,17.0
2016,11,9.201724137931034,3.785954961319081,1392,22.1
2016,12,10.944318181818183,5.689594146621764,1408,29.7
2017,1,10.853223340623545,6.537496031726598,2149,53.4
2017,2,8.084529679006085,4.285956972457501,1972,21.741667
2017,3,10.829407663526245,6.9067912083217315,2229,40.020833
2017,10,9.164012666058394,3.9738139607819196,2192,23.938889
2017,11,11.993607388625591,4.656709260589889,2110,29.1
2017,12,13.444170260525013,8.074112589687521,2019,46.5
2018,1,16.81136195336077,15.181577730562422,2187,111.008333
2018,2,11.666998867012987,8.303649726709093,1925,38.883333
2018,3,7.209636449567723,4.859758139885691,2082,30.425
2018,10,13.239777011057054,5.701758186105183,2261,36.3
2018,11,11.625547632860938,7.330061650173092,2258,37.75
2018,12,21.301148859956236,14.668433808951319,2285,89.970833
2019,1,11.320176236525613,7.42694731692356,2245,37.4375
2019,2,7.00705326407767,4.031383259191168,2060,19.1
2019,3,7.108550640103941,3.5022354866183796,2309,17.283333
2019,10,11.335861836668219,7.083162911653394,2149,43.0
2019,11,13.971439084653465,8.935913198165297,2020,47.4
2019,12,14.002835297995546,9.979968284030235,2245,48.991304
2020,1,15.907760126222222,9.21246721729959,2250,47.3
2020,2,11.974683353243117,5.657129121993454,2143,27.3
2020,3,5.996067834700043,3.467209321210089,2317,22.055
2020,10,11.640343736842105,3.7807924821196526,2242,51.2
2020,11,15.067112045294635,8.100090375252476,2274,43.5
2020,12,11.702429590199479,6.935921531800773,2306,45.409524
2021,1,13.759127411635081,12.060475865815993,2269,103.254545
2021,2,11.301740931683169,5.161752562174165,2020,33.566667
2021,3,8.535982226222222,3.1498992034201896,2250,21.9
2021,10,19.740533144098812,9.948745767607448,2186,61.895833
2021,11,15.730134162759244,7.423644351527314,2218,40.6
2021,12,16.478193152077807,8.654953700216145,2262,43.2
2022,1,13.35442358464567,6.92151874407765,2540,37.1
2022,2,10.521211461900686,4.899711647446212,2336,25.1875
2022,3,9.826596398907103,3.3727267997313453,2379,19.008333
2022,10,10.223447312044577,4.1217002243516445,2333,35.791667
2022,11,19.224333361235452,12.406885117397911,2234,66.1
2022,12,16.901913905793897,12.962777471522257,2261,61.9
2023,1,8.58383355679702,5.547794721552217,2148,25.816667
2023,2,8.567296995171674,5.2799377844496895,1864,25.483333
2023,3,6.681045176987062,3.852975991486031,2164,16.3125
2023,10,11.063491959055877,4.335196732264485,2076,22.75
2023,11,10.901150510096153,5.6361360073639535,2080,37.1
2023,12,12.267593602272727,8.011220278259184,2024,52.8
2024,1,11.859884331982164,7.64662396998171,2467,36.734783
2024,2,7.526344097959185,4.578467176096283,2205,27.1
2024,3,6.364654234226805,3.7992234153867406,2425,19.5
2024,10,10.045194981651376,4.4412506693661475,2071,22.025
2024,11,10.087178708007812,5.281752389915876,2048,24.0125
2024,12,13.395373735030647,8.87031273904222,2121,58.575
2025,10,13.297884683168316,5.533803652093575,2323,32.966667
2025,11,11.655217340223945,6.037402073120788,2322,38.345833
2025,12,20.744051697374278,11.02065045489758,2247,61.7
