month,total_articles,with_text,usable_text,median_text_len,pct_with_text,pct_usable_text
2025-01,28202,18237,16785,2226.0,64.66562655130842,59.51705552797674
2025-02,6325,5222,4874,3480.0,82.56126482213439,77.0592885375494
2025-03,2330,1972,1802,3710.0,84.63519313304721,77.33905579399142
2025-04,1945,1740,1565,3251.0,89.46015424164524,80.46272493573265
2025-05,1232,1104,1016,3217.0,89.6103896103896,82.46753246753246
2025-06,867,810,745,4090.0,93.42560553633218,85.92848904267589
